frame,dx1,dy1,dx2,dy2,iou,dis,conf,problem
55.0,3.0,5.0,2.0,4.0,0.7762630312750601,5.1478150704935,0.3745936453342438,0
56.0,5.0,5.0,4.0,2.0,0.7625236934741403,5.70087712549569,0.3637004196643829,0
57.0,8.0,5.0,5.0,1.0,0.7300306150848873,7.158910531638177,0.3595533967018127,0
60.0,5.0,8.0,4.0,1.0,0.7262662607251591,6.363961030678928,0.3952177762985229,0
75.0,6.0,5.0,5.0,3.0,0.7508635578583766,6.800735254367722,0.4533769190311432,0
76.0,6.0,0.0,1.0,1.0,0.9027534965034965,2.5495097567963922,0.3500065505504608,0
77.0,2.0,7.0,9.0,1.0,0.756202383277984,5.315072906367325,0.5557978749275208,0
78.0,4.0,2.0,8.0,6.0,0.7748427672955975,7.211102550927978,0.5768944025039673,0
79.0,12.0,8.0,5.0,1.0,0.7527336860670194,9.192388155425117,0.576728880405426,0
80.0,14.0,4.0,6.0,5.0,0.732824427480916,10.012492197250394,0.5774030685424805,0
81.0,12.0,6.0,1.0,3.0,0.776847469967237,6.670832032063167,0.593989908695221,0
82.0,13.0,5.0,7.0,0.0,0.7768878718535469,10.307764064044152,0.6037634015083313,0
83.0,15.0,4.0,9.0,1.0,0.7488738738738738,12.093386622447824,0.609186053276062,0
84.0,10.0,3.0,5.0,0.0,0.8351493848857645,7.648529270389178,0.6030857563018799,0
85.0,14.0,4.0,6.0,2.0,0.7683414851044909,10.44030650891055,0.6194415092468262,0
86.0,17.0,1.0,9.0,2.0,0.7546052631578948,13.0862523283024,0.6432210206985474,0
87.0,18.0,3.0,10.0,2.0,0.7220405493786789,14.221462653327892,0.6379191875457764,0
88.0,20.0,4.0,8.0,1.0,0.7166890982503364,14.221462653327892,0.6312990188598633,0
89.0,14.0,4.0,6.0,3.0,0.7588510354041417,10.594810050208546,0.6286091804504395,0
90.0,8.0,1.0,8.0,2.0,0.8329287133083204,8.139410298049853,0.6158483028411865,0
91.0,13.0,1.0,5.0,2.0,0.8111498257839721,9.013878188659973,0.6005605459213257,0
92.0,17.0,3.0,3.0,6.0,0.7265625,10.111874208078342,0.5963258147239685,0
93.0,22.0,3.0,2.0,12.0,0.6308243727598566,12.816005617976296,0.4912604987621307,1
140.0,3.0,1.0,4.0,5.0,0.6790123456790124,2.0615528128088303,0.4133045673370361,0
141.0,5.0,2.0,6.0,4.0,0.6287425149700598,3.0413812651491097,0.4269947409629822,0
147.0,1.0,6.0,8.0,1.0,0.5693023255813954,4.301162633521313,0.4337285161018371,0
148.0,2.0,5.0,12.0,2.0,0.5304212168486739,7.158910531638177,0.4414919316768646,0
149.0,5.0,2.0,7.0,6.0,0.5357142857142857,2.23606797749979,0.4660283029079437,0
150.0,8.0,1.0,0.0,6.0,0.6234375,5.315072906367325,0.4689434170722961,0
151.0,0.0,5.0,3.0,0.0,0.7384615384615385,2.9154759474226504,0.4907245337963104,0
152.0,9.0,5.0,5.0,4.0,0.463768115942029,2.0615528128088303,0.4758577048778534,1
153.0,6.0,5.0,10.0,4.0,0.43478260869565216,2.0615528128088303,0.4419259428977966,1
154.0,6.0,4.0,6.0,5.0,0.4927536231884058,0.5,0.5116242170333862,1
155.0,5.0,5.0,5.0,2.0,0.5797101449275363,1.5,0.4793144166469574,1
156.0,10.0,5.0,2.0,4.0,0.4927536231884058,4.031128874149275,0.4606819450855255,0
157.0,5.0,5.0,7.0,2.0,0.5475040257648953,1.8027756377319946,0.4747262299060821,0
158.0,3.0,5.0,8.0,2.0,0.5673758865248227,2.9154759474226504,0.4816823601722717,0
159.0,2.0,6.0,3.0,1.0,0.6075949367088608,3.5355339059327378,0.4823622703552246,1
